_id,user_id,itemId,eventType,timestamp,interaction_type,eventValue
6707f12f4f4c5a2d80438ba7,66e9c5755f042a244c705693,66dd70ab8c885167f2480ddc,Watched,1728573738,Videos,0.4
6707f12f4f4c5a2d80438ba8,66e9c5755f042a244c705693,66dd8b4a8c885167f24811ba,Watched,1728573740,Videos,0.038461538461538464
6707f1314f4c5a2d80438ba9,66e9c5755f042a244c705693,66dda408a06ce48a7dc79059,Watched,1728573743,Videos,0.05
6707f1344f4c5a2d80438baa,66e9c5755f042a244c705693,66dda4ada06ce48a7dc79071,Watched,1728573747,Videos,0.15789473684210525
6707f1794f4c5a2d80438bab,66e9c5755f042a244c705693,66dd7fb88c885167f248100d,Watched,1728573815,Videos,1.0
6707f17e4f4c5a2d80438bac,66e9c5755f042a244c705693,66dd7fb88c885167f248100d,Watched,1728573821,Videos,0.45454545454545453
6707f1894f4c5a2d80438bad,66e9c5755f042a244c705693,66dd8a798c885167f248119c,Watched,1728573831,Videos,0.12857142857142856
6707f1a24f4c5a2d80438bae,66e9c5755f042a244c705693,66dd9056e2fee00548e27baa,Watched,1728573856,Videos,1.0
6707f1bb4f4c5a2d80438baf,66e9c5755f042a244c705693,66dd9056e2fee00548e27baa,Watched,1728573881,Videos,1.0
6707f1d44f4c5a2d80438bb0,66e9c5755f042a244c705693,66dd9056e2fee00548e27baa,Watched,1728573906,Videos,1.0
6707f1e74f4c5a2d80438bb1,670048437be3fc47b60ab567,6707f1d2fd0c71502401d774,Watched,1728573923,Videos,0.2727272727272727
6707f1ee4f4c5a2d80438bb2,66e9c5755f042a244c705693,66dd9056e2fee00548e27baa,Watched,1728573931,Videos,1.0
6707f2094f4c5a2d80438bb3,670048437be3fc47b60ab567,6707f1d2fd0c71502401d774,Watched,1728573957,Videos,1.0
6707f20c4f4c5a2d80438bb4,670048437be3fc47b60ab567,6707f1d2fd0c71502401d774,Watched,1728573960,Videos,0.18181818181818182
6707f2214f4c5a2d80438bb5,66e9c5755f042a244c705693,66dd9422e2fee00548e27c37,Watched,1728573983,Videos,0.7352941176470589
6707f2304f4c5a2d80438bb6,66e9c5755f042a244c705693,66dd9a4ea06ce48a7dc78eea,Watched,1728573998,Videos,1.0
6707f2334f4c5a2d80438bb7,66e9c5755f042a244c705693,66dda8a2a06ce48a7dc7910d,Watched,1728574002,Videos,0.2222222222222222
6707f24a4f4c5a2d80438bb8,66e9c5755f042a244c705693,66ddf94293c5cd4396dcb04c,Watched,1728574024,Videos,1.0
6707f25e4f4c5a2d80438bb9,66e9c5755f042a244c705693,66ddf94293c5cd4396dcb04c,Watched,1728574045,Videos,1.0
6707f2714f4c5a2d80438bba,66e9c5755f042a244c705693,66ddf94293c5cd4396dcb04c,Watched,1728574063,Videos,0.8095238095238095
6707f27e4f4c5a2d80438bbb,66e9c5755f042a244c705693,66dd89e78c885167f2481187,Watched,1728574077,Videos,0.1111111111111111
6707f2874f4c5a2d80438bbc,66e9c5755f042a244c705693,66dd9c7da06ce48a7dc78f3c,Watched,1728574085,Videos,0.5833333333333334
6707f2924f4c5a2d80438bbd,66e9c5755f042a244c705693,66dd9ec2a06ce48a7dc78f93,Watched,1728574097,Videos,0.23684210526315788
6707f2a54f4c5a2d80438bbe,66e9c5755f042a244c705693,66dddb3a41f781a2fe7fb7cd,Watched,1728574116,Videos,1.0
6707f3004f4c5a2d80438bbf,670048437be3fc47b60ab567,6707f2d0fd0c71502401d77a,Watched,1728574205,Videos,0.09090909090909091
6707f3034f4c5a2d80438bc0,670048437be3fc47b60ab567,6707f2d0fd0c71502401d77a,Watched,1728574209,Videos,0.09090909090909091
670802be71a3536dfda3db21,66e9c5715f042a244c7055ed,6708026c706f3fd60c5ea87d,Watched,1728578235,Videos,0.6
67080a42583c93cc2c306e13,66e9c5715f042a244c7055ed,67080a1797c8550ae841eb04,Watched,1728580158,Videos,0.019230769230769232
67080e5dcd73bd5691d5171b,66e9c5755f042a244c705693,66dd6f9f8c885167f2480db5,Watched,1728581209,Videos,0.0
67080e5dcd73bd5691d5171c,66e9c5755f042a244c705693,66dd9ff9a06ce48a7dc78fc0,Watched,1728581211,Videos,0.0625
67080e5fcd73bd5691d5171d,66e9c5755f042a244c705693,66dd95c5a06ce48a7dc78e42,Watched,1728581214,Videos,0.18181818181818182
