_id,Archives,Category,CommentBlockedUsers,Comments,CommentsEnabled,ContentStatus,Country,CreationTimestamp,DeletedReason,Description,ExternalLink,HashTags,HashedFrame,Hiddens,IPAddress,Labels,Likes,Location,Mentions,Name,Orientation,Reports,Saves,Shares,SubCategory,Tags,Thumbnails,UserID,UserName,VideoDuration,VideoResolutions,VideoStatus,VideoTag,VideoUrl,Views,Visibility,__v,createdAt,updatedAt,StockVideo,VisibilityID,CoverImage,LocationAddress,LocationTagName
678eb6d96ef3bbff7964f389,0,Comedy,[],0,True,safe,London Kingston,1737406184,,,Tezda.com,[],93d45a067897a0fb,0,102.89.45.147,['vehicle'],0,London Kingston,[],wadud,PORTRAIT,0,0,0,"funny, motivational, money",0,/thumbnail/678eb6d96ef3bbff7964f389.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,18,['/v/678eb6d96ef3bbff7964f389/480p.mp4'],active,,/video/678eb6d96ef3bbff7964f389.mp4,9,public,0,2025-01-20 20:49:44.660,2025-02-05 16:42:05.361,True,[],,,
678eb7106ef3bbff7964f38b,0,Educational,[],0,True,safe,London Kingston,1737406243,,,Tezda.com,[],d0d4f41058d2a77f,0,102.89.45.147,"['sea', 'ocean']",0,London Kingston,[],wadud,PORTRAIT,0,0,0,Motivation,0,/thumbnail/678eb7106ef3bbff7964f38b.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,13,['/v/678eb7106ef3bbff7964f38b/480p.mp4'],active,,/video/678eb7106ef3bbff7964f38b.mp4,27,public,0,2025-01-20 20:50:44.036,2025-02-04 17:19:49.509,True,[],,,
678ebc58f4e57bab39901734,0,Adventure,[],0,True,safe,London Kingston,1737407661,,,Tezda.com,[],95b5d5296a962695,0,102.89.45.147,[],1,London Kingston,[],wadud,PORTRAIT,0,0,0,Travel,0,/thumbnail/678ebc58f4e57bab39901734.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,21,"['/v/678ebc58f4e57bab39901734/720p.mp4', '/v/678ebc58f4e57bab39901734/480p.mp4']",active,,/video/678ebc58f4e57bab39901734.mp4,7,public,0,2025-01-20 21:14:21.271,2025-02-10 10:06:44.173,True,[],,,
678ec6aad98fc49ca58cb895,0,Dance,[],0,True,safe,London Kingston,1737410233,,,Tezda.com,[],e5c61679496d6836,0,102.89.45.147,['song'],0,London Kingston,[],wadud,PORTRAIT,0,0,0,"Cultural, Ethnic",0,/thumbnail/678ec6aad98fc49ca58cb895.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,10,['/v/678ec6aad98fc49ca58cb895/480p.mp4'],active,,/video/678ec6aad98fc49ca58cb895.mp4,16,public,0,2025-01-20 21:57:13.326,2025-03-01 10:13:41.811,True,[],,,
678eeb8ad217016ae1f4a698,0,Music Videos,[],0,True,safe,London Kingston,1737419669,,,Tezda.com,[],956e30da56fc3207,0,102.89.45.147,[],1,London Kingston,[],wadud,PORTRAIT,0,0,0,fantasy,0,/thumbnail/678eeb8ad217016ae1f4a698.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,4,['/v/678eeb8ad217016ae1f4a698/480p.mp4'],active,,/video/678eeb8ad217016ae1f4a698.mp4,55,public,0,2025-01-21 00:34:29.765,2025-01-31 09:55:26.182,True,[],,,
678eece4ca256cf7beda09ed,0,TV Shows,[],0,True,safe,London Kingston,1737420042,,,Tezda.com,[],c792d2571c2d2d65,0,102.89.45.147,"['car', 'vehicle', 'motor vehicle']",0,London Kingston,[],wadud,LANDSCAPE,0,0,0,"Action, Thriller",0,/thumbnail/678eece4ca256cf7beda09ed.jpeg,66e9c5715f042a244c7055ed,wadudff947020fae2e,42,"['/v/678eece4ca256cf7beda09ed/720p.mp4', '/v/678eece4ca256cf7beda09ed/480p.mp4']",active,,/video/678eece4ca256cf7beda09ed.mp4,28,public,0,2025-01-21 00:40:42.710,2025-01-31 09:59:42.498,True,[],,,
679007702317434d5fff75b3,0,Educational,[],0,True,safe,nigeria,1737492336,,funny video,,[],e5e69a9865679618,0,192.168.1.1,[],0,nigeria,[],9999999999,LANDSCAPE,0,0,0,"Science, Nature",0,/thumbnail/679007702317434d5fff75b3.jpg,66e9c57c5f042a244c70582f,999999ac3c606d2d33,20,[],active,,/video/679007702317434d5fff75b3.mp4,14,public,0,2025-01-21 20:45:36.591,2025-01-31 10:00:10.482,True,[],,,
679009b72317434d5fff7609,0,Animation,[],0,True,safe,india,1737492919,,funny video,,[],871ae895136ed963,0,192.168.1.1,"['doll', 'toy']",0,india,[],tester,LANDSCAPE,0,0,0,Stop motion,0,/thumbnail/679009b72317434d5fff7609.jpg,66e9c5775f042a244c705707,tester03c73984ce8e,20,[],active,,/video/679009b72317434d5fff7609.mp4,7,public,0,2025-01-21 20:55:19.590,2025-01-29 20:31:56.967,True,[],,,
679009d22317434d5fff760d,0,Sports,[],0,True,safe,usa,1737492946,,funny video,,[],df79001fc3d01e55,0,192.168.1.1,[],0,usa,[],Nabhya iPad,LANDSCAPE,0,0,0,"Volleyball, Fails and Bloopers",0,/thumbnail/679009d22317434d5fff760d.jpg,66e9c57a5f042a244c7057ab,nabipa6e3c55984d28,20,[],active,,/video/679009d22317434d5fff760d.mp4,13,public,0,2025-01-21 20:55:46.591,2025-02-05 21:33:32.538,True,[],,,
679009df2317434d5fff760f,0,Dance,[],0,True,safe,nigeria,1737492959,,funny video,,[],9ee96a463481f353,0,192.168.1.1,['song'],0,nigeria,[],chizoba victory,LANDSCAPE,0,0,0,Street Dance,0,/thumbnail/679009df2317434d5fff760f.jpg,66e9c57b5f042a244c7057c0,chizvicta256f0d07f3d,21,[],active,,/video/679009df2317434d5fff760f.mp4,20,public,0,2025-01-21 20:55:59.994,2025-03-01 10:15:57.407,True,[],,,
